epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,395.072,0.88737,0.471,0.91918,0.99046,0.99457,0.99489,0.78022,0.81585,0.40417,0.91742,0.00100037,0.00100037,0.00100037
105,398.654,0.8825,0.45965,0.92357,0.99265,0.98936,0.99469,0.7808,0.81296,0.3927,0.91483,0.000999292,0.000999292,0.000999292
106,402.229,0.88344,0.4656,0.9338,0.99375,0.99116,0.99421,0.75813,0.83413,0.39724,0.92057,0.000998218,0.000998218,0.000998218
107,405.998,0.87406,0.46685,0.91674,0.98991,0.99561,0.99431,0.765,0.8409,0.39143,0.92145,0.000997144,0.000997144,0.000997144
108,409.609,0.87185,0.47539,0.90209,0.99055,0.99474,0.99415,0.7801,0.80856,0.39526,0.91017,0.00099607,0.00099607,0.00099607
109,413.241,0.88051,0.46442,0.91464,0.9903,0.99362,0.99436,0.76683,0.81944,0.41385,0.91333,0.000994996,0.000994996,0.000994996
110,416.815,0.84459,0.45172,0.89635,0.9877,0.99368,0.99437,0.78523,0.81586,0.39878,0.91306,0.000993922,0.000993922,0.000993922
111,420.504,0.88634,0.44636,0.928,0.99274,0.98674,0.99453,0.78032,0.81332,0.3863,0.91415,0.000992848,0.000992848,0.000992848
112,424.282,0.85635,0.45233,0.91733,0.99247,0.99697,0.99455,0.79392,0.80339,0.38701,0.90838,0.000991774,0.000991774,0.000991774
113,427.908,0.8437,0.43332,0.91956,0.98846,0.997,0.9944,0.79668,0.78311,0.38229,0.90127,0.0009907,0.0009907,0.0009907
114,431.533,0.86349,0.43852,0.90214,0.99244,0.99539,0.9945,0.78016,0.79399,0.36773,0.90469,0.000989625,0.000989625,0.000989625
115,435.139,0.82693,0.43497,0.89,0.98245,0.99102,0.99463,0.77601,0.81238,0.39729,0.91144,0.000988551,0.000988551,0.000988551
116,438.752,0.831,0.44584,0.91262,0.99407,0.99857,0.99488,0.78925,0.81048,0.38459,0.91172,0.000987477,0.000987477,0.000987477
