epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,305.287,0.84495,0.48234,0.91637,0.99414,0.99372,0.99342,0.78831,0.818,0.40796,0.91809,0.00102722,0.00102722,0.00102722
80,309.062,0.86489,0.48158,0.91323,0.99459,0.99753,0.99278,0.78757,0.80899,0.39085,0.91565,0.00102615,0.00102615,0.00102615
81,313.086,0.86943,0.46705,0.9375,0.99086,0.98913,0.9926,0.77896,0.8221,0.39995,0.92014,0.00102507,0.00102507,0.00102507
82,316.991,0.86927,0.49168,0.91636,0.9876,0.99671,0.99342,0.78318,0.82079,0.39764,0.91849,0.001024,0.001024,0.001024
83,320.625,0.85888,0.4952,0.90222,0.99267,0.99533,0.99309,0.78252,0.81367,0.39596,0.91679,0.00102292,0.00102292,0.00102292
84,324.161,0.85053,0.46552,0.92171,0.9932,0.99533,0.99269,0.78223,0.81711,0.4153,0.91742,0.00102185,0.00102185,0.00102185
85,328.086,0.88235,0.4924,0.92146,0.99193,0.99646,0.99286,0.76691,0.84146,0.41457,0.92607,0.00102077,0.00102077,0.00102077
86,332.03,0.86529,0.47638,0.9047,0.98494,0.99638,0.99352,0.77858,0.81883,0.40883,0.92165,0.0010197,0.0010197,0.0010197
87,335.854,0.87445,0.46322,0.9056,0.98983,0.98984,0.9933,0.78663,0.80466,0.40343,0.9144,0.00101863,0.00101863,0.00101863
88,339.8,0.79506,0.53575,0.83357,0.98703,0.98571,0.99252,0.78738,0.80339,0.4002,0.91484,0.00101755,0.00101755,0.00101755
89,343.56,0.84807,0.46908,0.90558,0.98214,0.99531,0.99376,0.78949,0.81265,0.39607,0.91824,0.00101648,0.00101648,0.00101648
90,347.246,0.89677,0.48564,0.94303,0.97747,0.9932,0.9929,0.78651,0.81728,0.41352,0.92073,0.0010154,0.0010154,0.0010154
91,350.85,0.85868,0.45473,0.89681,0.97314,0.99534,0.9904,0.78102,0.80923,0.38962,0.91941,0.00101433,0.00101433,0.00101433
92,354.508,0.86833,0.59361,0.90803,0.97508,0.99361,0.99186,0.78343,0.8167,0.39034,0.91903,0.00101326,0.00101326,0.00101326
93,358.313,0.85289,0.47337,0.90034,0.98298,0.99458,0.99323,0.79049,0.80218,0.38559,0.91453,0.00101218,0.00101218,0.00101218
94,362.073,0.86189,0.44594,0.91782,0.98336,0.99407,0.99268,0.78624,0.81249,0.39101,0.91582,0.00101111,0.00101111,0.00101111
95,365.822,0.77857,0.48813,0.82732,0.98532,0.99444,0.99347,0.79024,0.79733,0.38488,0.91369,0.00101003,0.00101003,0.00101003
96,369.762,0.84469,0.49417,0.91076,0.9848,0.99549,0.99303,0.79841,0.81587,0.39333,0.91553,0.00100896,0.00100896,0.00100896
97,373.576,0.88655,0.49716,0.92227,0.9845,0.9973,0.99243,0.78814,0.79847,0.38572,0.91039,0.00100789,0.00100789,0.00100789
98,377.344,0.89172,0.45837,0.97936,0.98413,0.99759,0.99365,0.79472,0.80001,0.40997,0.91206,0.00100681,0.00100681,0.00100681
99,381.109,0.88152,0.47456,0.9374,0.99476,0.99614,0.99436,0.78813,0.8125,0.39223,0.91811,0.00100574,0.00100574,0.00100574
100,384.918,0.82269,0.48839,0.92644,0.98416,0.99759,0.99367,0.79231,0.79996,0.38494,0.91174,0.00100466,0.00100466,0.00100466
101,388.667,0.85981,0.44204,0.90202,0.98455,0.99759,0.99269,0.78995,0.81243,0.39585,0.9148,0.00100359,0.00100359,0.00100359
102,392.515,0.83284,0.45044,0.90416,0.98574,0.99759,0.99352,0.79361,0.79338,0.3831,0.91037,0.00100251,0.00100251,0.00100251
103,396.523,0.84309,0.4634,0.90423,0.9867,0.99516,0.99422,0.80183,0.78786,0.38369,0.90768,0.00100144,0.00100144,0.00100144
104,400.382,0.85091,0.45621,0.90578,0.98495,0.99573,0.99446,0.80381,0.79447,0.37703,0.91107,0.00100037,0.00100037,0.00100037
105,404.168,0.87005,0.44176,0.92391,0.98502,0.9971,0.99413,0.79341,0.81134,0.38026,0.91406,0.000999292,0.000999292,0.000999292
106,407.841,0.85244,0.4581,0.92139,0.98903,0.99524,0.99454,0.79276,0.80562,0.37724,0.9113,0.000998218,0.000998218,0.000998218
107,411.594,0.84937,0.44797,0.91326,0.99478,0.99635,0.9938,0.79152,0.81278,0.38571,0.91451,0.000997144,0.000997144,0.000997144
108,415.492,0.85324,0.46076,0.89888,0.99016,0.99494,0.99424,0.7986,0.80285,0.38344,0.91696,0.00099607,0.00099607,0.00099607
109,419.375,0.8671,0.45933,0.91287,0.98948,0.9949,0.99451,0.79495,0.80854,0.38745,0.91745,0.000994996,0.000994996,0.000994996
110,423.058,0.84077,0.4463,0.8975,0.99133,0.99233,0.99457,0.79392,0.81211,0.38213,0.91569,0.000993922,0.000993922,0.000993922
111,427.031,0.86623,0.42921,0.92357,0.99206,0.99397,0.99454,0.79645,0.8191,0.38701,0.91966,0.000992848,0.000992848,0.000992848
112,430.656,0.86353,0.44859,0.91922,0.99026,0.99664,0.99419,0.80489,0.79178,0.38026,0.90957,0.000991774,0.000991774,0.000991774
113,434.528,0.83103,0.42445,0.92739,0.99025,0.99281,0.99431,0.78877,0.80309,0.37566,0.91288,0.0009907,0.0009907,0.0009907
114,438.224,0.85003,0.43327,0.90026,0.98817,0.99605,0.9939,0.80032,0.78346,0.36232,0.9059,0.000989625,0.000989625,0.000989625
115,441.932,0.80246,0.41817,0.88945,0.99293,0.99083,0.9938,0.79889,0.78442,0.36782,0.90632,0.000988551,0.000988551,0.000988551
